name, color, ppg
Belgian Candi Sugar - Clear/Blond, 0, 38
Belgian Candi Sugar - Dark, 275, 38
Brown Sugar, 15, 45
Cane Sugar, 0, 46
Corn Syrup, 0, 37
Dextrose (Corn Sugar), 0, 46
Honey, 2, 42
Honey (Buckwheat), 2, 42
Invert Sugar, 1, 46
Lactose (Milk Sugar), 1, 41
Maltodextrin , 0, 39
Maple Syrup, 35, 30
Molasses , 80, 36
Soft Candi Sugar - Blond, 5, 38
Soft Candi Sugar - Brown, 60, 38
Turbinado, 10, 44
White Sorghum Syrup, 1, 44
Sucrose (Table Sugar), 0, 46
Cara Gold (BE), 46, 34
